id;display_airport_name;airport_city;airport_fullname;airport_state;airport_country;latitude;longitude;airport_code
11697;Fort Lauderdale-Hollywood International;Fort Lauderdale;FORT LAUDERDALE INTERNATIONAL AIRPORT;FL;US;26.07416667;-80.15166667;FLL
11042;Cleveland-Hopkins International;Cleveland;CLEVELAND HOPKINS INTERNATIONAL AIRPORT;OH;US;41.41083333;-81.84944444;CLE
11057;Douglas Municipal;Charlotte;CHARLOTTE DOUGLAS AIRPORT;NC;US;35.21916667;-80.93583333;CLT
14027;Palm Beach International;West Palm Beach/Palm Beach;WEST PALM BEACH INTERNATIONAL AIRPORT;FL;US;26.68222222;-80.09416667;PBI
10423;Austin - Bergstrom International;Austin;AUSTIN BERGSTROM INTERNATIONAL AIRPORT;TX;US;30.19444444;-97.67;AUS
12173;Hollywood-Burbank Midpoint;Burbank;LOS ANGELES INTERNATIONAL AIRPORT;CA;US;21.31861111;-157.9225;BUR
10257;Albany International;Albany;ALBANY INTERNATIONAL AIRPORT;NY;US;42.74583333;-73.80527778;ABY
10397;Atlanta Municipal;Atlanta;ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT;GA;US;33.64083333;-84.42722222;AGS
10299;Anchorage International;Anchorage;ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT;AK;US;61.16916667;-149.9852778;ANC
10529;Bradley International;Hartford;HARTFORD BRADLEY INTERNATIONAL AIRPORT;CT;US;41.93861111;-72.68333333;BDL
10599;Birmingham Airport;Birmingham;BIRMINGHAM AIRPORT;AL;US;33.56305556;-86.75555556;BHM
10713;Boise Air Terminal;Boise;BOISE AIR TERMINAL;ID;US;43.56527778;-116.225;BOI
10140;Albuquerque International Sunport;Albuquerque;ALBUQUERQUE INTERNATIONAL AIRPORT;NM;US;35.04166667;-106.6063889;ABQ
11423;Des Moines Municipal;Des Moines;DES MOINES INTERNATIONAL AIRPORT;IA;US;41.53388889;-93.65666667;DSM
11540;El Paso International;El Paso;EL PASO INTERNATIONAL AIRPORT;TX;US;31.80666667;-106.3772222;ELP
11433;Detroit Metro Wayne County;Detroit;DETROIT METRO AIRPORT;MI;US;42.21666667;-83.34444444;DTW
11259;Dallas Love Field;Dallas;DALLAS FAA AIRPORT;TX;US;32.84694444;-96.85333333;DAL
11298;Dallas Fort Worth Regional;Dallas/Fort Worth;FORT WORTH MEACHAM FIELD;TX;US;32.89444444;-97.02972222;DFW
10994;Charleston International;Charleston;CHARLESTON INTL. AIRPORT;SC;US;32.89916667;-80.03888889;CHS
11638;Fresno Air Terminal;Fresno;FRESNO YOSEMITE INTERNATIONAL;CA;US;36.77666667;-119.7172222;FAT
11193;Cincinnati/Northern Kentucky International;Cincinnati;CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD;OH;US;39.04777778;-84.66861111;CVG
12339;Indianapolis Muni/Weir Cook;Indianapolis;INDIANAPOLIS INTERNATIONAL AIRPORT;IN;US;39.72888889;-86.28166667;IND
12478;John F. Kennedy International;New York;LAGUARDIA AIRPORT;NY;US;40.63861111;-73.77694444;JFK
11267;James M Cox/Dayton International;Dayton;DAYTON WRIGHT BROTHERS AIRPORT;OH;US;39.90111111;-84.22;DAY
12266;Honolulu International;Honolulu;HONOLULU INTERNATIONAL AIRPORT;HI;US;29.98333333;-95.34;HNL
12451;Jacksonville International;Jacksonville;JACKSONVILLE INTERNATIONAL AIRPORT;FL;US;30.48472222;-81.68777778;JAX
11996;Greenville-Spartanburg;Greer;GREENVILLE DOWNTOWN AIRPORT;SC;US;34.89888889;-82.21388889;PGV
10800;Grenier Field/Manchester Municipal;Manchester;MANCHESTER AIRPORT;NH;US;34.2;-118.3577778;MHT
10792;Greater Buffalo International;Buffalo;BUFFALO NIAGARA INTERNATIONAL;NY;US;42.94111111;-78.73638889;BUF
10821;Friendship International;Baltimore;BALTIMORE WASHINGTON INTERNATIONAL AIRPORT;MD;US;39.17555556;-76.67138889;BWI
10721;Logan International;Boston;BOSTON;MA;US;42.36361111;-71.00611111;BOS
12892;Los Angeles International;Los Angeles;LOS ANGELES INTERNATIONAL AIRPORT;CA;US;33.9425;-118.4080556;LAX
12758;Keahole;Kona;KAILUA KONA KE AHOLE AIRPORT;HI;US;19.73888889;-156.0455556;KOA
12953;LaGuardia;New York;LAGUARDIA AIRPORT;NY;US;40.77944444;-73.87583333;LGA
11986;Kent County;Grand Rapids;GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT;MI;US;42.88111111;-85.52416667;GRR
11618;Newark Liberty International;Newark;NEWARK LIBERTY INTERNATIONAL AIRPORT;NJ;US;40.69583333;-74.17166667;EWR
10693;Myrtle Beach International;Myrtle Beach;NORTH MYRTLE BEACH;SC;US;36.12666667;-86.68194444;MYR
12889;McCarran International;Las Vegas;MCCARRAN INTERNATIONAL AIRPORT;NV;US;36.08;-115.1522222;LAS
11995;Piedmont Triad International;Greensboro/High Point;GREENSBORO AIRPORT;NC;US;36.09194444;-79.94277778;GSO
11278;Ronald Reagan Washington National;Washington;WASHINGTON DULLES INTERNATIONAL AIRPORT;VA;US;38.85166667;-77.03694444;DCA
11066;Port Columbus International;Columbus;COLUMBUS OHIO STATE UNIVERSITY AIRPORT;OH;US;39.99111111;-82.87833333;CMH
11292;Stapleton International;Denver;DENVER INTERNATIONAL AIRPORT;CO;US;39.77444444;-104.8797222;DEN
15304;Tampa International;Tampa;TAMPA INTERNATIONAL AIRPORT;FL;US;27.97305556;-82.53527778;TPA
15096;Syracuse Hancock International;Syracuse;SYRACUSE HANCOCK INTERNATIONAL AIRPORT;NY;US;43.11055556;-76.1025;SYR
11884;Spokane International;Spokane;SPOKANE INTERNATIONAL AIRPORT;WA;US;47.62;-117.5327778;GEG
12191;William P Hobby;Houston;HOUSTON WILLIAM P HOBBY AIRPORT;TX;US;29.645;-95.27861111;HOU
12264;Washington Dulles International;Washington;WASHINGTON DULLES INTERNATIONAL AIRPORT;VA;US;38.94166667;-77.4575;IAD
12992;Adams Field;Little Rock;NORTH LITTLE ROCK AIRPORT;AR;US;34.72916667;-92.23444444;LIT
13232;Chicago Midway International;Chicago;CHICAGO OHARE INTERNATIONAL AIRPORT;IL;US;41.785;-87.75194444;MDW
13930;Chicago O'Hare International;Chicago;CHICAGO OHARE INTERNATIONAL AIRPORT;IL;US;41.97805556;-87.90611111;ORD
13871;Eppley Airfield;Omaha;GRAND ISLAND CENTRAL NE REGIONAL AIRPORT;NE;US;41.30194444;-95.89333333;OMA
13342;General Mitchell Field;Milwaukee;MILWAUKEE MITCHELL AIRPORT;WI;US;42.95027778;-87.89722222;MKE
12982;Lihue Airport;Lihue;LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1;HI;US;21.97916667;-159.3458333;LIH
15016;Lambert-St. Louis International;St. Louis;ST LOUIS LAMBERT INTERNATIONAL AIRPORT;MO;US;38.74722222;-90.36444444;STL
13830;Kahului Airport;Kahului;HONOLULU INTERNATIONAL AIRPORT;HI;US;20.90055556;-156.4336111;OGG
12954;Long Beach Daugherty Field;Long Beach;LOS ANGELES INTERNATIONAL AIRPORT;CA;US;33.8175;-118.1511111;LGB
13198;Kansas City International;Kansas City;KANSAS CITY INTERNATIONAL AIRPORT;MO;US;39.2975;-94.71388889;MCI
13495;Louis Armstrong New Orleans International;New Orleans;NEW ORLEANS AIRPORT;LA;US;29.99111111;-90.25138889;MSY
13303;Miami International;Miami;FL;MIAMI INTERNATIONAL AIRPORT;US;25.7925;-80.28611111;MIA
15412;McGhee Tyson;Knoxville;TN;KNOXVILLE AIRPORT;US;35.81222222;-83.9925;TYS
13244;Memphis International;Memphis;TN;MEMPHIS INTERNATIONAL AIRPORT;US;35.04972222;-89.97861111;MEM
13577;Minneapolis-St Paul International;Minneapolis;MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT;MN;US;33.67916667;-78.92972222;MSP
13931;Norfolk International;Norfolk;NORFOLK INTERNATIONAL AIRPORT;VA;US;36.89583333;-76.20138889;ORF
13796;Metropolitan Oakland International;Oakland;SACRAMENTO METROPOLITAN AIRPORT;CA;US;37.72138889;-122.2208333;SMF
13487;Midland Regional Air Trml;Midland/Odessa;PORT ARTHUR SE TX REGIONAL AIRPORT;TX;US;44.88611111;-93.21777778;MAF
15919;Northwest Arkansas Regional;Fayetteville;FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT;AR;US;36.28194444;-94.30694444;XNA
14107;Phoenix Sky Harbor International;Phoenix;PHOENIX AIRPORT;AZ;US;33.43611111;-112.0094444;PHX
14908;Orange County;Santa Ana;SANTA ANA JOHN WAYNE AIRPORT;CA;US;33.67555556;-117.8669444;SNA
14100;Philadelphia International;Philadelphia;PHILADELPHIA INTERNATIONAL AIRPORT;PA;US;39.86805556;-75.24861111;PHL
14193;Pensacola Regional;Pensacola;TALLAHASSEE REGIONAL AIRPORT;FL;US;30.47333333;-87.1875;PNS
14262;Palm Springs International;Palm Springs;DESERT RESORTS REGIONAL AIRPORT;CA;US;33.82666667;-116.505;PSP
13204;Orlando International;Orlando;ORLANDO INTERNATIONAL AIRPORT;FL;US;28.43166667;-81.32472222;MCO
13891;Ontario International;Ontario;LOS ANGELES INTERNATIONAL AIRPORT;CA;US;34.05611111;-117.6011111;ONT
14122;Pittsburgh International;Pittsburgh;PITTSBURGH ALLEGHENY CO AIRPORT;PA;US;40.49666667;-80.23583333;PIT
14057;Portland International;Portland;PORTLAND INTERNATIONAL AIRPORT;OR;US;45.58916667;-122.595;PDX
14843;Puerto Rico International;San Juan;SAN JUAN L M MARIN INTERNATIONAL AIRPORT;PR;US;18.44;-66.00222222;SJU
14321;Portland International Jetport;Portland;PORTLAND JETPORT;ME;US;43.64444444;-70.30361111;PWM
14524;Richmond International;Richmond;RICHMOND INTERNATIONAL AIRPORT;VA;US;37.50527778;-77.31972222;RIC
14576;Rochester Monroe County;Rochester;ROCHESTER GREATER INTERNATIONAL;NY;US;43.12138889;-77.67083333;RST
14570;Reno/Tahoe International;Reno;RENO AIRPORT;NV;US;39.49777778;-119.7675;RNO
14492;Raleigh-Durham International;Raleigh/Durham;RALEIGH AIRPORT;NC;US;35.87527778;-78.78194444;RDU
14869;Salt Lake City International;Salt Lake City;SALT LAKE CITY INTERNATIONAL AIRPORT;UT;US;40.78416667;-111.9669444;SLC
14831;San Jose International;San Jose;SAN JOSE INTERNATIONAL AIRPORT;CA;US;37.36277778;-121.9405556;SJC
14893;Sacramento International;Sacramento;SACRAMENTO METROPOLITAN AIRPORT;CA;US;38.69555556;-121.5897222;SMF
14683;San Antonio International;San Antonio;SAN ANTONIO INTERNATIONAL AIRPORT;TX;US;29.53333333;-98.46944444;SAT
14679;San Diego International Lindbergh Fl;San Diego;SAN DIEGO INTERNATIONAL AIRPORT;CA;US;32.73277778;-117.1872222;SAN
14771;San Francisco International;San Francisco;SAN FRANCISCO INTERNATIONAL AIRPORT;CA;US;37.61888889;-122.375;SPN
14730;Standiford Field;Louisville;LOUISVILLE INTERNATIONAL AIRPORT;KY;US;38.17972222;-85.73861111;SDF
14685;Savannah/Hilton Head International;Savannah;SAVANNAH INTERNATIONAL AIRPORT;GA;US;32.1275;-81.2025;SAV
13485;Truax Field;Madison;MADISON DANE CO REGIONAL AIRPORT;WI;US;43.14194444;-89.33694444;MSN
14307;Theodore Francis Green State;Providence;NEWPORT STATE AIRPORT;RI;US;41.72833333;-71.42611111;PVD
14635;Southwest Florida International;Fort Myers;FORT MYERS SW FLORIDA REGIONAL AIRPORT;FL;US;26.53611111;-81.755;RSW
15376;Tucson International;Tucson;PHOENIX AIRPORT;AZ;US;32.11611111;-110.9405556;TUS
14761;Sanford NAS;Sanford;TALLAHASSEE REGIONAL AIRPORT;FL;US;28.775;-81.24027778;TLH
14747;Seattle International;Seattle;SEATTLE TACOMA AIRPORT;WA;US;47.44722222;-122.3055556;SEA
13851;Will Rogers World;Oklahoma City;OKLAHOMA CITY WILL ROGERS WORLD AIRPORT;OK;US;35.39222222;-97.60166667;BRW
15370;Tulsa International;Tulsa;OKLAHOMA CITY WILL ROGERS WORLD AIRPORT;OK;US;36.19777778;-95.88972222;TUL
